Title,Keywords,APIName,Description,Namespace,Guid,Type
ExternalDataTypeServerFailureResolutionExecutingEventArgs,Autodesk.Revit.DB.Events.ExternalDataTypeServerFailureResolutionExecutingEventArgs class,AllMembers.T:Autodesk.Revit.DB.Events.ExternalDataTypeServerFailureResolutionExecutingEventArgs,,Autodesk.Revit.DB.Events,22f43a41-c5f7-5192-8007-8cb437cedee8,class
AnalyticalPowerSourceData,Autodesk.Revit.DB.Electrical.AnalyticalPowerSourceData class,AllMembers.T:Autodesk.Revit.DB.Electrical.AnalyticalPowerSourceData,,Autodesk.Revit.DB.Electrical,22f4abde-fd1f-0d7f-d38a-cba889efe852,class
ToposolidStructureIdParam,ParameterTypeId.ToposolidStructureIdParam property,P:Autodesk.Revit.DB.ParameterTypeId.ToposolidStructureIdParam,"""Structure""",Autodesk.Revit.DB,22f8bf08-fb52-fd20-389a-0f76e805c7db,property
TypeId,ExternalDataInstanceAddedIntoDocumentEventArgs.TypeId property,P:Autodesk.Revit.DB.Events.ExternalDataInstanceAddedIntoDocumentEventArgs.TypeId,The type id of the newly added external data instance id.,Autodesk.Revit.DB.Events,233f75f8-96f5-abb0-8694-467106227b15,property
ViewSolarstudyIsSingledayStudyType,ParameterTypeId.ViewSolarstudyIsSingledayStudyType property,P:Autodesk.Revit.DB.ParameterTypeId.ViewSolarstudyIsSingledayStudyType,"""Single day study""",Autodesk.Revit.DB,23b4c71b-ef72-3bd4-77be-cf66d60f14d0,property
IIFCEntityTreeUIServer,Autodesk.Revit.UI.IIFCEntityTreeUIServer interface,AllMembers.T:Autodesk.Revit.UI.IIFCEntityTreeUIServer,,Autodesk.Revit.UI,23c56a73-e22c-a495-1bef-87e573b3ef67,interface
FabricationBranchSize,ParameterTypeId.FabricationBranchSize property,P:Autodesk.Revit.DB.ParameterTypeId.FabricationBranchSize,"""Size of Primary Branch End""",Autodesk.Revit.DB,23d3d055-7ab7-dfed-ac86-07d75666c53b,property
GetTransform,AnalyticalElement.GetTransform method,M:Autodesk.Revit.DB.Structure.AnalyticalElement.GetTransform,Returns the transform which reflects Analytical Element orientation.,Autodesk.Revit.DB.Structure,23e0c0f8-3f72-235e-0b1f-b977bbe5d697,method
IsNormalToleranceSet,OBJExportOptions.IsNormalToleranceSet method,M:Autodesk.Revit.DB.OBJExportOptions.IsNormalToleranceSet,Checks whether the NormalTolerance tessellation parameter is explicitly set.,Autodesk.Revit.DB,244c5a23-8f09-7ef4-c2ca-0aca09c1c614,method
LayerElemThicknessParam,ParameterTypeId.LayerElemThicknessParam property,P:Autodesk.Revit.DB.ParameterTypeId.LayerElemThicknessParam,"""Thickness"": Thickness",Autodesk.Revit.DB,244cf37e-aab0-dcd4-5f47-855eb9f4c6af,property
Duplicate,,M:Autodesk.Revit.DB.ViewSheet.Duplicate(Autodesk.Revit.DB.SheetDuplicateOption),Duplicates this sheet to generate a new one.,Autodesk.Revit.DB,2466b896-0ce9-2d6e-e136-202d77ed7b79,
AnalyticalNodeData,"AnalyticalNodeData class, about AnalyticalNodeData class",T:Autodesk.Revit.DB.Structure.AnalyticalNodeData,This class holds information related to analytical model.,Autodesk.Revit.DB.Structure,24e7600a-2ae0-f25c-c36a-62b5bfcdc2eb,class
HasAssociation,AnalyticalToPhysicalAssociationManager.HasAssociation method,M:Autodesk.Revit.DB.Structure.AnalyticalToPhysicalAssociationManager.HasAssociation(Autodesk.Revit.DB.ElementId),Verifies if the element has already defined an association.,Autodesk.Revit.DB.Structure,2534dbba-e2c6-e85d-5b96-c7b610993b15,method
ViewSolarstudySingledayFrameText,ParameterTypeId.ViewSolarstudySingledayFrameText property,P:Autodesk.Revit.DB.ParameterTypeId.ViewSolarstudySingledayFrameText,"""Single day frame text""",Autodesk.Revit.DB,258e8447-1a8a-0e85-0dd3-d7f20fc0cd81,property
IsValidHostId,AreaLoad.IsValidHostId method,"M:Autodesk.Revit.DB.Structure.AreaLoad.IsValidHostId(Autodesk.Revit.DB.Document,Autodesk.Revit.DB.ElementId)",Indicates if the provided host id can host area loads The document containing both the host and the load The id of the analytical panel that is about to host an area load True if an area load can be placed on the input host id,Autodesk.Revit.DB.Structure,25e62c90-a5b5-09d5-9c49-03058e5e51b0,method
Duplicate,ViewSheet.Duplicate method,Overload:Autodesk.Revit.DB.ViewSheet.Duplicate,,Autodesk.Revit.DB,263a1f80-f9ee-3cfc-de5a-597d9c388bf9,method
IsValidObject,AreaBasedLoadBoundaryLineData.IsValidObject property,P:Autodesk.Revit.DB.Electrical.AreaBasedLoadBoundaryLineData.IsValidObject,Specifies whether the .NET object represents a valid Revit entity.,Autodesk.Revit.DB.Electrical,267d5009-c07c-cab7-f677-e689961ea637,property
AnalyticalToPhysicalAssociationManager,Autodesk.Revit.DB.Structure.AnalyticalToPhysicalAssociationManager class,AllMembers.T:Autodesk.Revit.DB.Structure.AnalyticalToPhysicalAssociationManager,,Autodesk.Revit.DB.Structure,27b2b2be-dbef-f148-b92f-a355294a89b0,class
Dispose,DeleteWorksetSettings.Dispose method,M:Autodesk.Revit.DB.DeleteWorksetSettings.Dispose,Releases all resources used by the,Autodesk.Revit.DB,27e3e91c-d184-b358-d2a3-ada77f5e70ee,method
AlignByHost,RebarPropagation.AlignByHost method,"M:Autodesk.Revit.DB.Structure.RebarPropagation.AlignByHost(Autodesk.Revit.DB.Document,System.Collections.Generic.IList{Autodesk.Revit.DB.Structure.Rebar},Autodesk.Revit.DB.Element)","It will copy the source rebars, will align them in the same way as how the source host is aligned to destination host and will adapt them to the destinaion host.",Autodesk.Revit.DB.Structure,27e94ec1-2041-4ba3-ced2-988a7f5cb166,method
AreaBasedLoadType,"AreaBasedLoadType class, about AreaBasedLoadType class",T:Autodesk.Revit.DB.Electrical.AreaBasedLoadType,This class represents an area based load type in Autodesk Revit.,Autodesk.Revit.DB.Electrical,2800f280-409f-083d-5b57-127a19344de9,class
NoPhysicalElementsLeftInExistingRelationship,BuiltInFailures.AnalyticalModelFailures.NoPhysicalElementsLeftInExistingRelationship property,P:Autodesk.Revit.DB.BuiltInFailures.AnalyticalModelFailures.NoPhysicalElementsLeftInExistingRelationship,There are no Physical elements left in the existing relationship.,Autodesk.Revit.DB,281b541a-9ad1-41c6-7320-9d0928133954,property
AnalyticalNodeData,"AnalyticalNodeData class, properties",Properties.T:Autodesk.Revit.DB.Structure.AnalyticalNodeData,,Autodesk.Revit.DB.Structure,28349e43-304c-e561-512d-5507982fd782,properties
AXMImportOptions,,M:Autodesk.Revit.DB.AXMImportOptions.#ctor,Constructs a new instance of AXMImportOptions with default values of all properties.,Autodesk.Revit.DB,2841fedf-f40b-e7d7-b783-5290b669371d,
Dispose,IFCExternalServiceUIData.Dispose method,M:Autodesk.Revit.UI.IFCExternalServiceUIData.Dispose,Releases all resources used by the,Autodesk.Revit.UI,2858a307-6873-ea62-cc88-14e5651c28e1,method
GetSymbolGeometryId,GeometryInstance.GetSymbolGeometryId method,M:Autodesk.Revit.DB.GeometryInstance.GetSymbolGeometryId,Gets the SymbolGeometryId that contains data about the symbol of this instance.,Autodesk.Revit.DB,28708c47-a358-41b3-d754-dda20f01ac6c,method
BuiltInFailures.ZoneFailures,Autodesk.Revit.DB.BuiltInFailures.ZoneFailures class,AllMembers.T:Autodesk.Revit.DB.BuiltInFailures.ZoneFailures,,Autodesk.Revit.DB,28b414f8-b733-3334-9697-b5a1666330ed,class
TotalConnectedCurrent,AnalyticalBusData.TotalConnectedCurrent property,P:Autodesk.Revit.DB.Electrical.AnalyticalBusData.TotalConnectedCurrent,The total connected current of the analytical bus.,Autodesk.Revit.DB.Electrical,28faea4d-06e4-9da0-c644-e07d535b535a,property
GetDeletedElementIds,DocumentDifference.GetDeletedElementIds method,M:Autodesk.Revit.DB.DocumentDifference.GetDeletedElementIds,"Deleted element id collection. For non-worksharing models, this will always be an empty collection.",Autodesk.Revit.DB,295b832e-a844-9a39-e746-ef072eb964be,method
TrueLoad,AreaBasedLoadData.TrueLoad property,P:Autodesk.Revit.DB.Electrical.AreaBasedLoadData.TrueLoad,The electrical true load of the area based load.,Autodesk.Revit.DB.Electrical,29c9d52c-b0a7-22e8-0135-b3047d5901fc,property
BuiltInFailures.MEPSupportFailures,Autodesk.Revit.DB.BuiltInFailures.MEPSupportFailures class,AllMembers.T:Autodesk.Revit.DB.BuiltInFailures.MEPSupportFailures,,Autodesk.Revit.DB,29d3e5a3-dc88-0ddb-d9d7-e5fec2f7b123,class
MergeSegments,ViewSchedule.MergeSegments method,"M:Autodesk.Revit.DB.ViewSchedule.MergeSegments(System.Int32,System.Int32)",Merges two adjacent segments into one.,Autodesk.Revit.DB,2a393e25-4c5f-5bd1-de98-58b2774de3cc,method
IsValidObject,ProjectBrowserOptions.IsValidObject property,P:Autodesk.Revit.UI.ProjectBrowserOptions.IsValidObject,Specifies whether the .NET object represents a valid Revit entity.,Autodesk.Revit.UI,2a718583-4f53-bc57-8dd1-c9f06e38f4d1,property
RbsElecAnalyticalLoadsInSet,ParameterTypeId.RbsElecAnalyticalLoadsInSet property,P:Autodesk.Revit.DB.ParameterTypeId.RbsElecAnalyticalLoadsInSet,"""Loads in Set""",Autodesk.Revit.DB,2a9a72f2-329c-59bb-50bb-c2673cbbb096,property
Create,,"M:Autodesk.Revit.DB.FilledRegion.Create(Autodesk.Revit.DB.Document,Autodesk.Revit.DB.ElementId,Autodesk.Revit.DB.SketchPlane,System.Collections.Generic.IList{Autodesk.Revit.DB.CurveLoop})",Creates a filled region on a sketch plane in a 3d model family.,Autodesk.Revit.DB,2b534d9c-666e-b8a8-0af0-931029f72e9f,
ReleaseConditions,"ReleaseConditions class, methods",Methods.T:Autodesk.Revit.DB.Structure.ReleaseConditions,,Autodesk.Revit.DB.Structure,2bb42748-68c3-38b4-8829-55c5b7c093ce,methods
CouplerRotationAngle,ParameterTypeId.CouplerRotationAngle property,P:Autodesk.Revit.DB.ParameterTypeId.CouplerRotationAngle,"""Coupler Rotation""",Autodesk.Revit.DB,2c1fdc0c-6baa-b820-bea8-113bf6375fa4,property
DirectShapeTypeUserAssignability,Nonassignable enumeration member,T:Autodesk.Revit.DB.DirectShapeTypeUserAssignability,Options for a DirectShapeType which affect whether or not it can be assigned as the type of a DirectShape.,Autodesk.Revit.DB,2d6edb93-3c18-dc5b-e13b-95b135509de4,member
IFCExternalServiceUIData,"IFCExternalServiceUIData class, properties",Properties.T:Autodesk.Revit.UI.IFCExternalServiceUIData,,Autodesk.Revit.UI,2d7260f4-ae54-6231-6f74-7498fb8a34e2,properties
LoadClassification,AreaBasedLoadData.LoadClassification property,P:Autodesk.Revit.DB.Electrical.AreaBasedLoadData.LoadClassification,The load classification of the area based load.,Autodesk.Revit.DB.Electrical,2df5488b-0748-3c63-ba50-564bf3e9e4f1,property
STLImportOptions,Autodesk.Revit.DB.STLImportOptions class,AllMembers.T:Autodesk.Revit.DB.STLImportOptions,,Autodesk.Revit.DB,2f645410-4638-115c-2f52-345aba8adbdb,class
GetOuterContour,AnalyticalSurfaceBase.GetOuterContour method,M:Autodesk.Revit.DB.Structure.AnalyticalSurfaceBase.GetOuterContour,Returns the Curve Loop that defines the geometry of the Analytical Surface element.,Autodesk.Revit.DB.Structure,2f888fc9-ecf5-25d3-ba0e-06351c07609b,method
ReleaseConditions,,"M:Autodesk.Revit.DB.Structure.ReleaseConditions.#ctor(System.Boolean,System.Boolean,System.Boolean,System.Boolean,System.Boolean,System.Boolean,System.Boolean)",Creates a new instance of ReleaseConditions.,Autodesk.Revit.DB.Structure,2f9010d5-2f50-5df3-03e1-50658f74e030,
AXMImportOptions,Autodesk.Revit.DB.AXMImportOptions class,AllMembers.T:Autodesk.Revit.DB.AXMImportOptions,,Autodesk.Revit.DB,2fb99e4d-2ec0-15d3-aca0-ebe45ab0c574,class
BuiltInFailures.ViewSheetFailures,Autodesk.Revit.DB.BuiltInFailures.ViewSheetFailures class,AllMembers.T:Autodesk.Revit.DB.BuiltInFailures.ViewSheetFailures,,Autodesk.Revit.DB,3165dce1-32eb-c201-e79f-da4551118612,class
OBJImportOptions,Autodesk.Revit.DB.OBJImportOptions class,AllMembers.T:Autodesk.Revit.DB.OBJImportOptions,,Autodesk.Revit.DB,322e7645-44e0-3a56-19b7-b387c4c40d08,class
AnalyticalPowerSourceData,"AnalyticalPowerSourceData class, properties",Properties.T:Autodesk.Revit.DB.Electrical.AnalyticalPowerSourceData,,Autodesk.Revit.DB.Electrical,327ffde9-a930-e012-d51d-a1c3ae3fb75b,properties
IsValidObject,DocumentDifference.IsValidObject property,P:Autodesk.Revit.DB.DocumentDifference.IsValidObject,Specifies whether the .NET object represents a valid Revit entity.,Autodesk.Revit.DB,32d5a71a-dac5-dff2-cbd8-907164366fdc,property
Split,,M:Autodesk.Revit.DB.ViewSchedule.Split(System.Int32),Splits the schedule into several segments by given segment number.,Autodesk.Revit.DB,336fbd5a-0b10-9a6f-37fa-85763ad8f0fa,
IsValidBoundaryOnView,BoundaryValidation.IsValidBoundaryOnView method,"M:Autodesk.Revit.DB.BoundaryValidation.IsValidBoundaryOnView(Autodesk.Revit.DB.Document,Autodesk.Revit.DB.ElementId,System.Collections.Generic.IList{Autodesk.Revit.DB.CurveLoop})",Indicates if the given curve loops compose a valid boundary on the view's detail sketch plane.,Autodesk.Revit.DB,35ee6236-a777-c509-f53a-f169eb5ecee8,method
Volume,EnergyAnalysisSpace.Volume property,P:Autodesk.Revit.DB.Analysis.EnergyAnalysisSpace.Volume,The volume for this space.,Autodesk.Revit.DB.Analysis,36257f80-cd3d-c85d-8e9d-af6c298fee77,property
CreateEqualsRule,,"M:Autodesk.Revit.DB.ParameterFilterRuleFactory.CreateEqualsRule(Autodesk.Revit.DB.ElementId,System.String)",Creates a filter rule that determines whether strings from the document equal a certain value.,Autodesk.Revit.DB,365d4fca-bbb0-c05b-5940-3104982589c8,
AnalyticalSurfaceCannotMove,BuiltInFailures.AnalyticalModelFailures.AnalyticalSurfaceCannotMove property,P:Autodesk.Revit.DB.BuiltInFailures.AnalyticalModelFailures.AnalyticalSurfaceCannotMove,Cannot move analytical surface.,Autodesk.Revit.DB,36610d46-ed07-589f-8854-197f83874006,property
IsValidVersionGUID,Document.IsValidVersionGUID method,"M:Autodesk.Revit.DB.Document.IsValidVersionGUID(Autodesk.Revit.DB.Document,System.Guid)",Checks whether the GUID is valid for the given document. Empty GUID is allowed.,Autodesk.Revit.DB,375638e9-fb7c-06c8-11b6-29dfdde4c4a1,method
ElectricalAnalyticalLoadSetUIService,ExternalServices.BuiltInExternalServices.ElectricalAnalyticalLoadSetUIService property,P:Autodesk.Revit.DB.ExternalService.ExternalServices.BuiltInExternalServices.ElectricalAnalyticalLoadSetUIService,The UI service which permits registration of an external server for UI managing Electrical Analytical Load Set.,Autodesk.Revit.DB.ExternalService,378fa29c-ace2-e1d6-e558-729a9f1b8bd8,property
CanFlipPart,FabricationPart.CanFlipPart method,M:Autodesk.Revit.DB.FabricationPart.CanFlipPart,Validates if the fabrication part is one of the supported fabrication part types that can be flipped.,Autodesk.Revit.DB,38138b33-9f20-ba4e-428f-e2f16b6d4093,method
SymbolGeometryId,"SymbolGeometryId class, about SymbolGeometryId class",T:Autodesk.Revit.DB.SymbolGeometryId,This class is used to identify a piece of geometry managed by a symbol element.,Autodesk.Revit.DB,386b1518-9376-b3bc-8751-29189af6d154,class
VAPerMSup2,SymbolTypeId.VAPerMSup2 property,P:Autodesk.Revit.DB.SymbolTypeId.VAPerMSup2,"Symbol VA/mÂ², indicating unit Volt amperes per square meter.",Autodesk.Revit.DB,39a80cd8-a60c-3af4-8f18-3fa50e86293c,property
SymbolId,SymbolGeometryId.SymbolId property,P:Autodesk.Revit.DB.SymbolGeometryId.SymbolId,The id of the symbol that is containing the shared geometry.,Autodesk.Revit.DB,39b90860-d958-7b9e-2975-90c41a36b9e1,property
DeleteSegment,ViewSchedule.DeleteSegment method,M:Autodesk.Revit.DB.ViewSchedule.DeleteSegment(System.Int32),Deletes a schedule segment.,Autodesk.Revit.DB,39df2299-ba2f-2da0-7524-4ab5150a48ab,method
UserAssignability,DirectShapeType.UserAssignability property,P:Autodesk.Revit.DB.DirectShapeType.UserAssignability,An option controlling the ability of DirectShapes to assign this DirectShapeType as its type.,Autodesk.Revit.DB,3a4036c3-6e64-6b5f-1246-fe8ef68a7526,property
CanBeDuplicated,ViewSheet.CanBeDuplicated method,M:Autodesk.Revit.DB.ViewSheet.CanBeDuplicated(Autodesk.Revit.DB.SheetDuplicateOption),Identifies if this sheet can be duplicated.,Autodesk.Revit.DB,3a45e2af-d541-9fc6-fe33-e314f8712558,method
ReleaseConditions,"ReleaseConditions class, properties",Properties.T:Autodesk.Revit.DB.Structure.ReleaseConditions,,Autodesk.Revit.DB.Structure,3a70c607-bc00-d938-ef21-3f3a05e6fe6d,properties
CreateGreaterRule,,"M:Autodesk.Revit.DB.ParameterFilterRuleFactory.CreateGreaterRule(Autodesk.Revit.DB.ElementId,System.String)",Creates a filter rule that determines whether strings from the document are greater than a certain value.,Autodesk.Revit.DB,3a713b67-a0da-8110-8d38-b27bd12e1eba,
Import,,"M:Autodesk.Revit.DB.Document.Import(System.String,Autodesk.Revit.DB.STLImportOptions,Autodesk.Revit.DB.View)",Imports an STL file into the document.,Autodesk.Revit.DB,3a99879a-efe1-8611-01c3-2de9af62341f,
CurveBottomLevel,ParameterTypeId.CurveBottomLevel property,P:Autodesk.Revit.DB.ParameterTypeId.CurveBottomLevel,"""Bottom Level""",Autodesk.Revit.DB,3b527b0f-dae3-6146-60df-765426f1876f,property
GetProjectionToSheetTransform,Viewport.GetProjectionToSheetTransform method,M:Autodesk.Revit.DB.Viewport.GetProjectionToSheetTransform,Returns the transform from the view's projection space to the sheet space.,Autodesk.Revit.DB,3c55684a-b4fd-851e-3b32-6a3eb1e9eb3b,method
ViewSolarstudyStillDateValue,ParameterTypeId.ViewSolarstudyStillDateValue property,P:Autodesk.Revit.DB.ParameterTypeId.ViewSolarstudyStillDateValue,"""Still date""",Autodesk.Revit.DB,3c63095d-6fc7-4cb2-e20d-e90c3d966fcd,property
GetReleaseType,AnalyticalMember.GetReleaseType method,M:Autodesk.Revit.DB.Structure.AnalyticalMember.GetReleaseType(System.Boolean),Gets the release type.,Autodesk.Revit.DB.Structure,3cd5237d-bef2-7a12-f0e3-43318820f75a,method
Create,AnalyticalOpening.Create method,"M:Autodesk.Revit.DB.Structure.AnalyticalOpening.Create(Autodesk.Revit.DB.Document,Autodesk.Revit.DB.CurveLoop,Autodesk.Revit.DB.ElementId)",Creates a new instance of an Analytical Opening within the project.,Autodesk.Revit.DB.Structure,3ef8f558-c706-9972-ad70-594f6762e7a9,method
ViewInAModelMustBeUnique,BuiltInFailures.ViewSheetFailures.ViewInAModelMustBeUnique property,P:Autodesk.Revit.DB.BuiltInFailures.ViewSheetFailures.ViewInAModelMustBeUnique,"Sheet views in this model cannot contain more than one instance of ""%1!s!.""",Autodesk.Revit.DB,3f5a9937-e709-3b5e-21dd-05d1376b3da6,property
DeleteWorksetSettings,,"M:Autodesk.Revit.DB.DeleteWorksetSettings.#ctor(Autodesk.Revit.DB.DeleteWorksetOption,Autodesk.Revit.DB.WorksetId)",Constructs a DeleteWorksetSettings object.,Autodesk.Revit.DB,3ff52b4f-b8f1-a4c7-4afd-a62375e55a16,
ViewSolarstudyAnimationSpeedText,ParameterTypeId.ViewSolarstudyAnimationSpeedText property,P:Autodesk.Revit.DB.ParameterTypeId.ViewSolarstudyAnimationSpeedText,"""Loop animation speed""",Autodesk.Revit.DB,3ffd019a-9cab-a6ad-5fc1-b72b0c9a3277,property
AnalyticalNodeConnectionStatus,Connected enumeration member,T:Autodesk.Revit.DB.Structure.AnalyticalNodeConnectionStatus,Indicates the Connections Status for an Analytical Node.,Autodesk.Revit.DB.Structure,40b4bfd9-4c97-acc9-3759-66756d8e5d4a,member
ExternalDataInstanceRemovedFromDocumentEventArgs,"ExternalDataInstanceRemovedFromDocumentEventArgs class, properties",Properties.T:Autodesk.Revit.DB.Events.ExternalDataInstanceRemovedFromDocumentEventArgs,,Autodesk.Revit.DB.Events,41482bb2-09b7-be72-fe6a-b3e616922505,properties
StartWithNewSketch,SketchEditScope.StartWithNewSketch method,M:Autodesk.Revit.DB.SketchEditScope.StartWithNewSketch(Autodesk.Revit.DB.ElementId),"Starts a sketch edit mode for an element which, at this moment, doesn't have a sketch.",Autodesk.Revit.DB,4150d043-a5bf-60ba-b986-11f1dc01eedf,method
SketchId,AnalyticalSurfaceBase.SketchId property,P:Autodesk.Revit.DB.Structure.AnalyticalSurfaceBase.SketchId,Sketch associated to this Revit element.,Autodesk.Revit.DB.Structure,41796d62-c246-f1db-dabf-f74f8cb209c7,property
SetReleaseType,AnalyticalMember.SetReleaseType method,"M:Autodesk.Revit.DB.Structure.AnalyticalMember.SetReleaseType(System.Boolean,Autodesk.Revit.DB.Structure.ReleaseType)",Sets the release type.,Autodesk.Revit.DB.Structure,41b94d8b-c36b-d3bf-f76e-56e66ea3b19a,method
Create,FilledRegion.Create method,Overload:Autodesk.Revit.DB.FilledRegion.Create,,Autodesk.Revit.DB,41bd803e-5549-da86-c190-77a9cae68cd0,method
LevelAssociationData,"LevelAssociationData class, properties",Properties.T:Autodesk.Revit.DB.LevelAssociationData,,Autodesk.Revit.DB,41ffdb00-b2a3-f222-aeec-cada8caae026,properties
OBJImportOptions,,M:Autodesk.Revit.DB.OBJImportOptions.#ctor,Constructs a new instance of OBJImportOptions with default values of all properties.,Autodesk.Revit.DB,4361b352-a496-9da8-aeb8-067551895ea4,
IsValidObject,SpatialElementDomainData.IsValidObject property,P:Autodesk.Revit.DB.SpatialElementDomainData.IsValidObject,Specifies whether the .NET object represents a valid Revit entity.,Autodesk.Revit.DB,4365cb63-c7a0-a7d3-67a9-da88648c4104,property
ZoneNotEnclosed,BuiltInFailures.ZoneFailures.ZoneNotEnclosed property,P:Autodesk.Revit.DB.BuiltInFailures.ZoneFailures.ZoneNotEnclosed,Zone not enclosed totally.,Autodesk.Revit.DB,4380a165-efb0-5f39-0fb9-ab9931b7ff71,property
OBJExportOptions,,M:Autodesk.Revit.DB.OBJExportOptions.#ctor,Constructs a new instance of OBJExportOptions with default values of all properties.,Autodesk.Revit.DB,43ae0d7b-847e-80b9-0350-b495fcf3b30b,
CreateBeginsWithRule,ParameterFilterRuleFactory.CreateBeginsWithRule method,Overload:Autodesk.Revit.DB.ParameterFilterRuleFactory.CreateBeginsWithRule,,Autodesk.Revit.DB,4446cd3a-e6f9-8c85-ee28-a58f26f8c449,method
MepUpperBottomElevationIncludeInsulation,ParameterTypeId.MepUpperBottomElevationIncludeInsulation property,P:Autodesk.Revit.DB.ParameterTypeId.MepUpperBottomElevationIncludeInsulation,"""Upper End Bottom of Insulation Elevation""",Autodesk.Revit.DB,4462aca6-2d00-1593-3e9f-85ff6025a9c6,property
BuiltInFailures.ViewSheetFailures,"BuiltInFailures.ViewSheetFailures class, about BuiltInFailures.ViewSheetFailures class",T:Autodesk.Revit.DB.BuiltInFailures.ViewSheetFailures,Failures about placing viewports on sheets.,Autodesk.Revit.DB,4488ecc8-243f-b6b5-ff98-ad780cd0bdc2,class
DeleteWorkset,WorksetTable.DeleteWorkset method,"M:Autodesk.Revit.DB.WorksetTable.DeleteWorkset(Autodesk.Revit.DB.Document,Autodesk.Revit.DB.WorksetId,Autodesk.Revit.DB.DeleteWorksetSettings)",Delete the specific workset.,Autodesk.Revit.DB,45c1d58c-f523-26ae-acc6-7ddc3c321d4a,method
ScheduleHeightsOnSheet,Autodesk.Revit.DB.ScheduleHeightsOnSheet class,AllMembers.T:Autodesk.Revit.DB.ScheduleHeightsOnSheet,,Autodesk.Revit.DB,46431bc3-0afa-406d-df0b-a608c3b6c9f7,class
GetLevelAssociationData,LevelAssociationData.GetLevelAssociationData method,M:Autodesk.Revit.DB.LevelAssociationData.GetLevelAssociationData(Autodesk.Revit.DB.Element),"Returns LevelAssociationData associated with this element, if it exists.",Autodesk.Revit.DB,46a006d0-da74-8d5d-15b6-9db0d62ba7e4,method
OBJExportOptions,,M:Autodesk.Revit.DB.OBJExportOptions.#ctor(Autodesk.Revit.DB.ExportResolution),"Constructs a new instance of OBJExportOptions with all predefined tessellation settings, depending on export resolution type. Note: in case of Custom resolution type, tessellation settings won't be predefined and will have default values.",Autodesk.Revit.DB,47145edb-9e79-9cbf-8f33-d47528989442,
ExternalDataInstanceRemovedFromDocumentEventArgs,"ExternalDataInstanceRemovedFromDocumentEventArgs class, about ExternalDataInstanceRemovedFromDocumentEventArgs class",T:Autodesk.Revit.DB.Events.ExternalDataInstanceRemovedFromDocumentEventArgs,The event arguments used by the ExternalDataInstanceRemovedFrom event.,Autodesk.Revit.DB.Events,471c4688-8595-9ef9-db74-eccd12ae44a4,class
HasViewportTransforms,Viewport.HasViewportTransforms method,M:Autodesk.Revit.DB.Viewport.HasViewportTransforms,Indicates if the viewport has transforms.,Autodesk.Revit.DB,474169c5-2e94-ed0b-95e2-851d96dd3723,method
LoadType,AnalyticalEquipmentLoadData.LoadType property,P:Autodesk.Revit.DB.Electrical.AnalyticalEquipmentLoadData.LoadType,The load type of analytical equipment load.,Autodesk.Revit.DB.Electrical,47a26962-f841-a452-59df-2ef45a89de1a,property
NewInstanceId,ExternalDataInstanceAddedIntoDocumentEventArgs.NewInstanceId property,P:Autodesk.Revit.DB.Events.ExternalDataInstanceAddedIntoDocumentEventArgs.NewInstanceId,The newly added external data instance id.,Autodesk.Revit.DB.Events,4859f4fa-bcc6-b7c9-bae0-cefdca0980a2,property
ElectricalAnalyticalNode,Autodesk.Revit.DB.Electrical.ElectricalAnalyticalNode class,AllMembers.T:Autodesk.Revit.DB.Electrical.ElectricalAnalyticalNode,,Autodesk.Revit.DB.Electrical,48baab3d-e12e-590a-41f1-5fb0418311af,class
IsValidObject,ZoneElementDomainData.IsValidObject property,P:Autodesk.Revit.DB.Mechanical.ZoneElementDomainData.IsValidObject,Specifies whether the .NET object represents a valid Revit entity.,Autodesk.Revit.DB.Mechanical,48e0d8e9-5086-a3c9-10f2-0f22df50d878,property
GetSelectedElements,SelectionChangedEventArgs.GetSelectedElements method,M:Autodesk.Revit.UI.Events.SelectionChangedEventArgs.GetSelectedElements,Returns ElementIds of selected elements.,Autodesk.Revit.UI.Events,4b367193-5eb7-5c28-cec9-6534f85f00f2,method
IsSketchEditingSupportedForSketchBasedElement,SketchEditScope.IsSketchEditingSupportedForSketchBasedElement method,M:Autodesk.Revit.DB.SketchEditScope.IsSketchEditingSupportedForSketchBasedElement(Autodesk.Revit.DB.ElementId),Checks whether the element supports sketch editing.,Autodesk.Revit.DB,4b851561-91b8-291e-ce3d-02dd0467152d,method
IsAutomatic,InSessionViewSheetSet.IsAutomatic property,P:Autodesk.Revit.DB.InSessionViewSheetSet.IsAutomatic,Automatic order or manual order.,Autodesk.Revit.DB,4b9fd1d2-464b-d7e0-0efc-edfc831c60d4,property
ShowGraphicalOpenEndsAreaBasedLoadBoundaryDisconnects,Application.ShowGraphicalOpenEndsAreaBasedLoadBoundaryDisconnects property,P:Autodesk.Revit.ApplicationServices.Application.ShowGraphicalOpenEndsAreaBasedLoadBoundaryDisconnects,Whether or not to show the graphical open ends for Area Based Load Boundary disconnects.,Autodesk.Revit.ApplicationServices,4be7eb6c-ab3e-2d2c-48c6-df733429d168,property
IsSet,BoundingBoxXYZ.IsSet property,P:Autodesk.Revit.DB.BoundingBoxXYZ.IsSet,Indicates whether the bounding box is set.,Autodesk.Revit.DB,4c7c9482-953b-8685-679f-4d333ac15a7e,property
